"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Check buffer exists - Positive","","2025-11-21","passed","2025-11-21","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testExists_Positive"
"","19","Find buffers by connection scheme UID - Positive","","2025-11-21","passed","2025-11-21","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testFindByConnectionSchemeUid_Positive"
"","2","Check buffer exists - Negative","","2025-11-21","passed","2025-11-21","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testExists_Negative"
"","385","BaseBufferException toString format","","2025-11-21","passed","2025-11-21","","Buffer Exception Tests","com.connection.processing.buffer.exception.BufferExceptionTest","testBaseBufferExceptionToString"
"","6","Add buffer to connection scheme - Positive","","2025-11-21","passed","2025-11-21","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testAddBufferToConnectionScheme_Positive"
"","4","Delete buffers by device UID - Positive","","2025-11-21","passed","2025-11-21","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testDeleteByDeviceUid_Positive"
"","3","Convert Dalm to Blm - Positive","","2025-11-21","passed","2025-11-21","","Buffer Converter Tests","com.connection.processing.buffer.converter.BufferConverterTest","testToBlmFromDalm_Positive"
"","3","Delete buffer - Positive","","2025-11-21","passed","2025-11-21","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testDeleteBuffer_Positive"
"","3","Delete non-existent buffer - Negative","","2025-11-21","passed","2025-11-21","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testDeleteNonExistentBuffer_Negative"
"","385","Convert Blm to Dalm - Positive","","2025-11-21","passed","2025-11-21","","Buffer Converter Tests","com.connection.processing.buffer.converter.BufferConverterTest","testToDalmFromBlm_Positive"
"","2","Find buffer by UID - Positive","","2025-11-21","passed","2025-11-21","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testFindByUid_Positive"
"","4","Validate BufferDto with empty prototype - Negative","","2025-11-21","passed","2025-11-21","","Buffer Validator Tests","com.connection.processing.buffer.validator.BufferValidatorTest","testValidateBufferDtoWithEmptyPrototype_Negative"
"","2","BufferNotFoundException toString format","","2025-11-21","passed","2025-11-21","","Buffer Exception Tests","com.connection.processing.buffer.exception.BufferExceptionTest","testBufferNotFoundExceptionToString"
"","1753","Add buffer - Positive","","2025-11-21","passed","2025-11-21","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testAddBuffer_Positive"
"","2","Validate valid BufferBlm - Positive","","2025-11-21","passed","2025-11-21","","Buffer Validator Tests","com.connection.processing.buffer.validator.BufferValidatorTest","testValidateBufferBlm_Positive"
"","1","Convert Blm to Dto - Positive","","2025-11-21","passed","2025-11-21","","Buffer Converter Tests","com.connection.processing.buffer.converter.BufferConverterTest","testToDtoFromBlm_Positive"
"","2","BufferValidateException toString format","","2025-11-21","passed","2025-11-21","","Buffer Exception Tests","com.connection.processing.buffer.exception.BufferExceptionTest","testBufferValidateExceptionToString"
"","3","Remove buffer from connection scheme - Positive","","2025-11-21","passed","2025-11-21","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testRemoveBufferFromConnectionScheme_Positive"
