"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Revoke all client tokens - Positive","","2025-09-20","passed","2025-09-20","","Refresh Token Repository Tests - SQL implementation tests","com.connection.device.token.repository.RefreshTokenRepositorySQLImplTest","testRevokeAllClientTokens_Positive"
"","8","Convert BLM to DTO - Positive","","2025-09-20","passed","2025-09-20","","Access Token Converter Tests","com.connection.device.token.converter.AccessTokenConverterTest","testToDTOFromBLM_Positive"
"","2","AccessTokenValidateException toString format","","2025-09-20","passed","2025-09-20","","Token Exception Tests","com.connection.device.token.exception.TokenExceptionTest","testAccessTokenValidateExceptionToString"
"","1","Revoke refresh token - Positive","","2025-09-20","passed","2025-09-20","","Refresh Token Repository Tests - SQL implementation tests","com.connection.device.token.repository.RefreshTokenRepositorySQLImplTest","testRevokeRefreshToken_Positive"
"","1","Validate AccessTokenBLM with expired token - Negative","","2025-09-20","passed","2025-09-20","","Access Token Validator Tests","com.connection.device.token.validator.AccessTokenValidatorTest","testValidateAccessTokenBLMWithExpiredToken_Negative"
"","0","Validate AccessTokenBLM with future created date - Negative","","2025-09-20","passed","2025-09-20","","Access Token Validator Tests","com.connection.device.token.validator.AccessTokenValidatorTest","testValidateAccessTokenBLMWithFutureCreatedAt_Negative"
"","8","Convert DALM to BLM - Positive","","2025-09-20","passed","2025-09-20","","Access Token Converter Tests","com.connection.device.token.converter.AccessTokenConverterTest","testToBLMFromDALM_Positive"
"","1","Generate refresh token from parameters - Positive","","2025-09-20","passed","2025-09-20","","Refresh Token Generator Tests","com.connection.device.token.generator.RefreshTokenGeneratorTest","testGenerateRefreshTokenFromParameters_Positive"
"","1","Generate refresh token from DALM - Positive","","2025-09-20","passed","2025-09-20","","Refresh Token Generator Tests","com.connection.device.token.generator.RefreshTokenGeneratorTest","testGenerateRefreshTokenFromDALM_Positive"
"","2","Convert DTO to BLM - Positive","","2025-09-20","passed","2025-09-20","","Refresh Token Converter Tests","com.connection.device.token.converter.RefreshTokenConverterTest","testToBLMFromDTO_Positive"
"","226","Add existing refresh token - Negative","","2025-09-20","passed","2025-09-20","","Refresh Token Repository Tests - SQL implementation tests","com.connection.device.token.repository.RefreshTokenRepositorySQLImplTest","testAddExistingRefreshToken_Negative"
"","1884","Convert BLM to DALM - Positive","","2025-09-20","passed","2025-09-20","","Access Token Converter Tests","com.connection.device.token.converter.AccessTokenConverterTest","testToDALMFromBLM_Positive"
"","0","Validate valid RefreshTokenDALM - Positive","","2025-09-20","passed","2025-09-20","","Refresh Token Validator Tests","com.connection.device.token.validator.RefreshTokenValidatorTest","testValidateRefreshTokenDALM_Positive"
